1.009408953	2104.622728	28.77196902	860.5123968
1.025836593	1883.911654	29.92553567	777.855492
1.041579748	1695.393382	27.96204263	706.5860821
1.061429813	1539.438476	26.61785161	649.1433228
1.078248588	1389.445516	25.00221329	591.6983171
1.104490143	1238.637218	23.71462661	535.5901928
1.145089092	1133.426863	23.87273158	501.6734025
1.201064754	1041.387473	24.99089327	475.7561158
1.261299435	1004.719833	27.70628956	474.5732267
1.321534116	1066.573033	33.74874826	520.4990512
1.379030856	1180.19837	42.52581333	593.768723
1.436527597	1302.489516	53.37379853	675.1221571
1.497218601	1413.223622	66.23707015	755.392255
1.556996958	1437.274701	76.78274042	791.3003811
1.617231638	1375.351109	83.70992564	779.5414196
1.670837622	1234.240039	84.26348788	717.4555311
1.721273359	1130.902017	85.92820504	672.8425352
1.758874402	1028.211803	84.55728438	622.2314093
1.80888744	971.8153833	88.70960799	601.2846361
1.867410908	975.026111	100.4341579	618.7310133
1.88494133	1140.29675	121.7550267	729.0165955
1.907453281	1292.759128	144.5260733	834.3549367
1.924489352	1472.708684	170.4478241	957.2687537
1.934832681	1658.077325	195.9701306	1082.38516
1.945784442	1868.699558	225.8139287	1225.394226
1.955367232	2138.677392	263.4888878	1407.950754
1.975597566	2424.535808	311.1277738	1609.332611
1.995067362	2704.495292	360.8753912	1809.299626
2.011495002	3042.718223	419.5582609	2048.967598
2.027922642	3449.194798	491.4291184	2337.850462
2.045445458	3904.659993	576.0163936	2664.835592
2.063515863	4428.958879	677.1392681	3043.984838
2.084506736	4850.391242	772.8864306	3360.69543
2.126488483	5432.303029	939.763104	3824.235715
2.181247284	5838.184156	1123.081832	4193.910835
2.241481964	5651.215888	1220.0651	4148.024328
2.290764885	5118.542267	1213.153156	3821.798858
2.313166212	4658.233202	1151.524041	3504.666662
2.345025878	4188.474832	1098.902687	3184.969559
2.375641026	3775.02187	1048.330884	2899.539607
2.433137766	3432.654895	1059.524396	2685.396147
2.493372447	3375.155565	1162.107665	2689.75136
2.553607127	442.5692948	169.7365295	359.0249255
2.611103868	3276.5021	1391.005466	2701.678304
2.652172968	2938.81009	1340.465662	2450.619862
2.676814429	2681.711726	1276.600736	2250.997134
2.701455889	2421.180576	1202.606447	2045.482252
2.723359409	2160.597792	1114.255271	1835.659503
2.740569318	1924.319242	1021.992947	1642.066813
2.750054324	1751.033845	945.0957876	1497.758957
2.767166449	1564.446431	869.2611709	1343.857469
2.78359409	1372.457876	784.0517253	1183.692593
2.799337245	1216.447408	713.5900845	1053.139334
2.819491525	1091.417959	662.2446584	949.4406143
2.84382877	964.3141567	609.3528823	843.6552495
2.859161234	845.452015	548.0105563	742.27523
2.87668405	748.4895438	499.4176021	659.7581721
2.898587571	673.0391122	465.5497357	596.1501174
2.930073881	599.9600257	436.9136507	535.0653234
2.959320058	2.671045006	2.039660106	2.396881002
2.991677532	490.566054	394.6354423	443.1412272
3.024035005	441.4586665	373.9631038	401.349905
3.049478488	99.85801281	88.07225303	91.2314962
3.073815732	361.4798079	331.2766664	331.7641928
3.092981312	305.6731986	288.6716323	281.5326039
3.087505432	338.2967463	316.756387	311.2694153
3.142103178	274.1275507	279.4021681	254.6766792
3.177857453	245.3274548	264.1643408	229.2933142
3.221664494	219.4000812	252.5136614	206.5032812
3.281899174	228.9112429	288.3606248	217.4061935
3.344415472	253.4074725	350.0483827	242.7469758
3.36472186	285.0984939	405.6608866	273.8216225
3.378900478	319.9749563	464.7514075	307.8665068
3.39210126	357.8124052	529.7231182	344.8311074
3.408939591	404.618023	613.7163011	390.7266569
3.424272056	452.6477528	701.8224435	437.8901014
3.440699696	511.5689338	811.9923238	495.8139032
3.462603216	578.1598879	946.6671236	561.7016981
3.484506736	644.229859	1087.948707	627.3359834
3.505725771	728.5018858	1267.411627	710.9197206
3.525575837	817.2896622	1461.766911	799.0997225
3.550715104	908.9995933	1683.387922	890.8347593
3.577596697	1005.844063	1932.840056	988.0564945
3.624141678	1114.691201	2281.939657	1099.054725
3.681638418	1215.883697	2688.272222	1203.622459
3.741873099	1261.816539	3019.84792	1253.437065
3.802107779	1260.777195	3261.40373	1255.849479
3.86234246	1227.460564	3427.053173	1225.136778
3.92257714	1168.248704	3515.324273	1167.54863
3.982811821	1081.866838	3503.405427	1081.834876
4.037570621	979.9176157	3388.027632	979.7793051
4.081377662	882.5340476	3212.672332	881.9497984
4.107761448	800.6664039	3005.405833	799.7371673
4.133702738	731.7189362	2829.900265	730.412053
4.160777923	665.5233864	2654.654122	663.8052606
4.190397456	599.8158478	2473.97555	597.6453804
4.215840939	542.2737008	2301.220227	539.753269
4.242611908	490.0722316	2142.3256	487.1961129
4.262081704	442.5773879	1976.55022	439.5478809
4.283985224	397.799416	1819.528934	394.6041607
4.305888744	353.9816161	1657.938366	350.6849308
4.337831378	321.4804541	1558.128444	317.8322545
4.398978705	338.436158	1749.360182	333.0914481
4.459213385	357.057656	1963.55173	349.6069687
4.519448066	374.0744469	2185.411737	364.115893
4.563255106	340.1758722	2074.861936	329.5529779
4.585158627	306.3666628	1908.78679	296.0539103
4.607062147	274.9467646	1749.489755	264.9987346
